C0    N     Idle  
118   1     59.03 
42    2     45.14 
64    3     36.76 
81    4     30.93 
102   5     26.83 
113   6     24.34 
116   7     20.69 
129   8     20.73 
129   9     18.20 
138   10    14.96 
145   11    14.57 
145   12    12.97 
146   13    11.91 
148   14    12.69 
161   15    18.78 
197   16    13.93 
200   17    12.95 
212   18    10.98 
208   19    13.37 
211   20    13.65 
204   21    11.97 
215   22    5.15  
223   23    5.42  
223   24    2.42  
232   25    3.83  
219   26    2.82  
225   27    4.61  
227   28    2.41  
238   29    2.52  
221   30    2.51  
223   31    1.51  
231   32    0.80  
236   33    3.11  
234   34    0.40  
219   35    0.61  
215   36    0.20  
233   37    0.50  
225   38    0.20  
233   39    1.40  
228   40    0.00  
184   41    0.31  
164   42    0.31  
126   43    0.00  
145   44    0.20  
218   45    0.00  
225   46    0.00  
153   47    0.00  
202   48    0.00  
217   49    0.30  
217   50    0.10  
